# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
solver.hint.context_days	Hint parametro solver context_days	0–7: turni già assegnati nei giorni adiacenti alla finestra, visti (bloccati) dai vincoli di sovrapposizione, riposo, ore settimanali e giorni consecutivi. 0 = solo finestra.	0–7: shifts already assigned on days adjacent to the window, seen (locked) by the overlap, rest, weekly-hours and consecutive-day constraints. 0 = window only.	0–7 : quarts déjà affectés les jours adjacents à la fenêtre, vus (verrouillés) par les contraintes de chevauchement, repos, heures hebdomadaires et jours consécutifs. 0 = fenêtre seule.	0–7: turnos ya asignados en los días adyacentes a la ventana, vistos (bloqueados) por las restricciones de solapamiento, descanso, horas semanales y días consecutivos. 0 = solo la ventana.	0–7: bereits zugewiesene Schichten an den an das Fenster angrenzenden Tagen, von den Überschneidungs-, Ruhe-, Wochenstunden- und Folgetage-Regeln gesehen (gesperrt). 0 = nur Fenster.
solver.hint.days_off_weight	Hint parametro solver days_off_weight	0–10. Peso del rispetto dei riposi minimi settimanali.	0–10. Weight for respecting the minimum weekly days off.	0–10. Poids du respect des repos hebdomadaires minimum.	0–10. Peso del cumplimiento de los descansos semanales mínimos.	0–10. Gewicht für die Einhaltung der wöchentlichen Mindestruhetage.
solver.hint.desired_date_weight	Hint parametro solver desired_date_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.diminished_ratio_pct	Hint parametro solver diminished_ratio_pct	1–100: percentuale del ritmo di miglioramento iniziale sotto cui fermarsi. Usato solo con finestra > 0.	1–100: percentage of the initial improvement rate below which to stop. Used only with window > 0.	1–100 : pourcentage du rythme d'amélioration initial sous lequel s'arrêter. Utilisé uniquement avec fenêtre > 0.	1–100: porcentaje del ritmo de mejora inicial por debajo del cual detenerse. Solo con ventana > 0.	1–100: Prozentsatz der anfänglichen Verbesserungsrate, unter dem gestoppt wird. Nur bei Fenster > 0.
solver.hint.diminished_window_seconds	Hint parametro solver diminished_window_seconds	0 disabilita. Confronta il miglioramento attuale con quello di N secondi prima e si ferma quando il ritmo cala sotto la soglia.	0 disables it. Compares the current improvement with that of N seconds earlier and stops when the rate falls below the threshold.	0 désactive. Compare l'amélioration actuelle à celle d'il y a N secondes et s'arrête quand le rythme passe sous le seuil.	0 la desactiva. Compara la mejora actual con la de N segundos antes y se detiene cuando el ritmo cae por debajo del umbral.	0 deaktiviert. Vergleicht die aktuelle Verbesserung mit der von vor N Sekunden und stoppt, wenn die Rate unter die Schwelle fällt.
solver.hint.max_consecutive_days	Hint parametro solver max_consecutive_days	0 disabilita il limite.	0 disables the limit.	0 désactive la limite.	0 desactiva el límite.	0 deaktiviert das Limit.
solver.hint.max_shifts_per_day	Hint parametro solver max_shifts_per_day	Da 1 a 5.	From 1 to 5.	De 1 à 5.	De 1 a 5.	Von 1 bis 5.
solver.hint.max_solve_seconds	Hint parametro solver max_solve_seconds	5–600 secondi.	5–600 seconds.	5–600 secondes.	5–600 segundos.	5–600 Sekunden.
solver.hint.max_weekly_hours	Hint parametro solver max_weekly_hours	0 disabilita il limite.	0 disables the limit.	0 désactive la limite.	0 desactiva el límite.	0 deaktiviert das Limit.
solver.hint.max_weekly_shifts	Hint parametro solver max_weekly_shifts	0 disabilita il massimo.	0 disables the maximum.	0 désactive le maximum.	0 desactiva el máximo.	0 deaktiviert das Maximum.
solver.hint.min_days_off_per_week	Hint parametro solver min_days_off_per_week	Da 0 a 7.	From 0 to 7.	De 0 à 7.	De 0 a 7.	Von 0 bis 7.
solver.hint.min_weekly_shifts	Hint parametro solver min_weekly_shifts	0 disabilita il minimo.	0 disables the minimum.	0 désactive le minimum.	0 desactiva el mínimo.	0 deaktiviert das Minimum.
solver.hint.minimum_rest_hours	Hint parametro solver minimum_rest_hours	Ore minime tra due turni.	Minimum hours between two shifts.	Heures minimales entre deux quarts.	Horas mínimas entre dos turnos.	Mindeststunden zwischen zwei Schichten.
solver.hint.night_balance_weight	Hint parametro solver night_balance_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.night_end_hour	Hint parametro solver night_end_hour	0–23.	0–23.	0–23.	0–23.	0–23.
solver.hint.night_start_hour	Hint parametro solver night_start_hour	0–23.	0–23.	0–23.	0–23.	0–23.
solver.hint.optional_skill_weight	Hint parametro solver optional_skill_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.same_location_weight	Hint parametro solver same_location_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.unassigned_weight	Hint parametro solver unassigned_weight	1–100.	1–100.	1–100.	1–100.	1–100.
solver.hint.undesired_date_weight	Hint parametro solver undesired_date_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.unimproved_seconds	Hint parametro solver unimproved_seconds	0 disabilita lo stop anticipato.	0 disables early stopping.	0 désactive l'arrêt anticipé.	0 desactiva la parada anticipada.	0 deaktiviert den vorzeitigen Stopp.
solver.hint.weekly_shift_weight	Hint parametro solver weekly_shift_weight	0–10. Peso del rispetto dei turni settimanali minimi/massimi.	0–10. Weight for respecting the weekly min/max shifts.	0–10. Poids du respect des quarts hebdomadaires min/max.	0–10. Peso del cumplimiento de los turnos semanales mín/máx.	0–10. Gewicht für die Einhaltung der wöchentlichen Min-/Max-Schichten.
solver.label.avoid_specialist_weight	Etichetta parametro solver avoid_specialist_weight	Specialista da evitare	Specialist to avoid	Spécialiste à éviter	Especialista a evitar	Zu vermeidender Spezialist
solver.label.balance_weight	Etichetta parametro solver balance_weight	Bilanciamento carico	Workload balance	Équilibrage de la charge	Equilibrio de carga	Lastausgleich
solver.label.consecutive_days_weight	Etichetta parametro solver consecutive_days_weight	Giorni consecutivi massimi	Maximum consecutive days	Jours consécutifs maximum	Días consecutivos máximos	Maximale aufeinanderfolgende Tage
solver.label.context_days	Etichetta parametro solver context_days	Giorni di contesto (bordi finestra)	Context days (window edges)	Jours de contexte (bords de fenêtre)	Días de contexto (bordes de ventana)	Kontexttage (Fensterränder)
solver.label.days_off_weight	Etichetta parametro solver days_off_weight	Riposi minimi settimanali	Minimum weekly days off	Repos hebdomadaires minimum	Descansos semanales mínimos	Wöchentliche Mindestruhetage
solver.label.desired_date_weight	Etichetta parametro solver desired_date_weight	Date desiderate	Desired dates	Dates souhaitées	Fechas deseadas	Wunschtermine
solver.label.diminished_ratio_pct	Etichetta parametro solver diminished_ratio_pct	Stop a rendimento decrescente: soglia (%)	Diminishing-returns stop: threshold (%)	Arrêt à rendement décroissant : seuil (%)	Parada por rendimiento decreciente: umbral (%)	Stopp bei abnehmendem Ertrag: Schwelle (%)
solver.label.diminished_window_seconds	Etichetta parametro solver diminished_window_seconds	Stop a rendimento decrescente: finestra (s)	Diminishing-returns stop: window (s)	Arrêt à rendement décroissant : fenêtre (s)	Parada por rendimiento decreciente: ventana (s)	Stopp bei abnehmendem Ertrag: Fenster (s)
solver.label.max_consecutive_days	Etichetta parametro solver max_consecutive_days	Giorni consecutivi massimi	Maximum consecutive days	Jours consécutifs maximaux	Días consecutivos máximos	Maximale aufeinanderfolgende Tage
solver.label.max_shifts_per_day	Etichetta parametro solver max_shifts_per_day	Turni massimi giornalieri	Maximum daily shifts	Quarts quotidiens maximaux	Turnos diarios máximos	Maximale Schichten pro Tag
solver.label.max_solve_seconds	Etichetta parametro solver max_solve_seconds	Durata massima (secondi)	Maximum duration (seconds)	Durée maximale (secondes)	Duración máxima (segundos)	Maximale Dauer (Sekunden)
solver.label.max_weekly_hours	Etichetta parametro solver max_weekly_hours	Ore massime settimanali	Maximum weekly hours	Heures hebdomadaires maximales	Horas semanales máximas	Maximale Wochenstunden
solver.label.max_weekly_shifts	Etichetta parametro solver max_weekly_shifts	Turni massimi settimanali	Maximum weekly shifts	Quarts hebdomadaires maximaux	Turnos semanales máximos	Maximale Schichten pro Woche
solver.label.min_days_off_per_week	Etichetta parametro solver min_days_off_per_week	Riposi minimi settimanali	Minimum days off per week	Jours de repos minimaux par semaine	Días de descanso mínimos por semana	Mindestruhetage pro Woche
solver.label.min_weekly_shifts	Etichetta parametro solver min_weekly_shifts	Turni minimi settimanali	Minimum weekly shifts	Quarts hebdomadaires minimaux	Turnos semanales mínimos	Mindestschichten pro Woche
solver.label.minimum_rest_hours	Etichetta parametro solver minimum_rest_hours	Riposo minimo (ore)	Minimum rest (hours)	Repos minimal (heures)	Descanso mínimo (horas)	Mindestruhezeit (Stunden)
solver.label.night_balance_weight	Etichetta parametro solver night_balance_weight	Bilanciamento notturni	Night shift balance	Équilibrage des nuits	Equilibrio de nocturnos	Nachtschichtausgleich
solver.label.night_end_hour	Etichetta parametro solver night_end_hour	Ora fine notte	Night end hour	Heure de fin de nuit	Hora de fin de noche	Nachtende (Stunde)
solver.label.night_start_hour	Etichetta parametro solver night_start_hour	Ora inizio notte	Night start hour	Heure de début de nuit	Hora de inicio de noche	Nachtbeginn (Stunde)
solver.label.optional_skill_weight	Etichetta parametro solver optional_skill_weight	Competenze opzionali	Optional skills	Compétences facultatives	Competencias opcionales	Optionale Kompetenzen
solver.label.same_location_weight	Etichetta parametro solver same_location_weight	Continuità nella sede	Location continuity	Continuité de site	Continuidad de sede	Standortkontinuität
solver.label.unassigned_weight	Etichetta parametro solver unassigned_weight	Penalità turno non assegnato	Unassigned shift penalty	Pénalité de quart non affecté	Penalización de turno sin asignar	Strafe für unbesetzte Schicht
solver.label.undesired_date_weight	Etichetta parametro solver undesired_date_weight	Date indesiderate	Undesired dates	Dates non souhaitées	Fechas no deseadas	Unerwünschte Termine
solver.label.unimproved_seconds	Etichetta parametro solver unimproved_seconds	Stop senza miglioramenti	Stop without improvement	Arrêt sans amélioration	Parada sin mejoras	Stopp ohne Verbesserung
solver.label.weekly_shift_weight	Etichetta parametro solver weekly_shift_weight	Turni settimanali (min/max)	Weekly shifts (min/max)	Quarts hebdomadaires (min/max)	Turnos semanales (mín/máx)	Wöchentliche Schichten (Min/Max)
solver.opt.allow_unassigned	Opzione solver allow_unassigned	Consenti turni non assegnati	Allow unassigned shifts	Autoriser les quarts non affectés	Permitir turnos sin asignar	Unbesetzte Schichten zulassen
solver.opt.balance_by_hours	Opzione solver balance_by_hours	Bilancia il carico per ore (anziché per numero turni)	Balance workload by hours (instead of by number of shifts)	Équilibrer la charge par heures (au lieu du nombre de quarts)	Equilibrar la carga por horas (en lugar de por número de turnos)	Last nach Stunden ausgleichen (statt nach Schichtanzahl)
solver.opt.stop_when_feasible	Opzione solver stop_when_feasible	Interrompi alla prima soluzione fattibile	Stop at the first feasible solution	Arrêter à la première solution réalisable	Detener en la primera solución factible	Bei der ersten machbaren Lösung stoppen
solverSettings.intro	Introduzione parametri Solver	Configurazione dei parametri di ottimizzazione per l’azienda selezionata.	Optimization settings for the selected company.	Paramètres d’optimisation pour l’entreprise sélectionnée.	Parámetros de optimización para la empresa seleccionada.	Optimierungseinstellungen für das ausgewählte Unternehmen.
structures.active	Badge struttura attiva	Attiva	Active	Active	Activa	Aktiv
structures.addTooltip	Tooltip aggiunta struttura	Aggiungi una nuova struttura	Add a new structure	Ajouter une nouvelle structure	Añadir una nueva estructura	Neue Struktur hinzufügen
structures.defaultDeleteTooltip	Tooltip struttura predefinita	La struttura predefinita non può essere eliminata	The default structure cannot be deleted	La structure par défaut ne peut pas être supprimée	La estructura predeterminada no se puede eliminar	Die Standardstruktur kann nicht gelöscht werden
structures.deleteTitle	Titolo eliminazione struttura	Elimina struttura	Delete structure	Supprimer la structure	Eliminar estructura	Struktur löschen
structures.loadError	Errore caricamento strutture	Errore nel caricamento delle strutture.	Error loading structures.	Erreur lors du chargement des structures.	Error al cargar las estructuras.	Fehler beim Laden der Strukturen.
structures.noResults	Messaggio nessuna struttura	Nessuna struttura.	No structures.	Aucune structure.	No hay estructuras.	Keine Strukturen.
tab.all	Tab Tutti	Tutti	All	Tous	Todos	Alle
tab.byEmployee	Tab Per dipendente	Per Operatore	By operator	Par opérateur	Por operador	Nach Mitarbeiter
tab.byLocation	Tab Per sede	Per sede	By location	Par lieu	Por ubicación	Nach Ort
tab.desired	Tab Preferiti	Preferiti	Desired	Souhaités	Deseados	Bevorzugt
tab.unavailable	Tab Non disponibili	Non disponibili	Unavailable	Non disponibles	No disponibles	Nicht verfügbar
tab.undesired	Tab Non preferiti	Non preferiti	Undesired	Non souhaités	No deseados	Nicht bevorzugt
table.actions	Intestazione colonna Azioni	Azioni	Actions	Actions	Acciones	Aktionen
table.active	Intestazione colonna Attiva	Attiva	Active	Active	Activa	Aktiv
table.address	Intestazione colonna indirizzo	Indirizzo	Address	Adresse	Dirección	Adresse
